,2025-09-30,2024-09-30,2023-09-30,2022-09-30,2021-09-30
Cash And Cash Equivalents,167459000.0,232689000.0,168831000.0,185094000.0,
Total Debt,987157000.0,1016148000.0,1089219000.0,462904000.0,
Current Debt,,,,12504000.0,12504000.0
Long Term Debt,763363000.0,812634000.0,879529000.0,246250000.0,
Total Assets,4282174000.0,4192676000.0,3820477000.0,2622776000.0,
Total Liabilities Net Minority Interest,2502010000.0,2362263000.0,2416971000.0,1439639000.0,
Total Equity Gross Minority Interest,1780164000.0,1830413000.0,1403506000.0,1183137000.0,
