,2025-09-30,2024-09-30,2023-09-30,2022-09-30,2021-09-30
Cash And Cash Equivalents,1745000.0,1786000.0,809000.0,2354000.0,
Total Debt,7644000.0,2525000.0,11191000.0,24773000.0,
Current Debt,6718000.0,2134000.0,10642000.0,22035000.0,
Long Term Debt,,,0.0,2342000.0,2624000.0
Total Assets,168594000.0,168897000.0,175021000.0,188181000.0,
Total Liabilities Net Minority Interest,33855000.0,27837000.0,37775000.0,54331000.0,
Total Equity Gross Minority Interest,134739000.0,141060000.0,137246000.0,133850000.0,
