,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Cash And Cash Equivalents,1211700000.0,1069100000.0,940000000.0,606900000.0,
Total Debt,1597700000.0,1547700000.0,1653600000.0,1529100000.0,
Current Debt,,116000000.0,115300000.0,510000000.0,432400000.0
Long Term Debt,1448300000.0,1278300000.0,1398100000.0,870700000.0,
Total Assets,5679000000.0,5350500000.0,6605100000.0,6587000000.0,
Total Liabilities Net Minority Interest,2572700000.0,2415700000.0,2431200000.0,2380100000.0,
Total Equity Gross Minority Interest,3106300000.0,2934800000.0,4173900000.0,4206900000.0,
