,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Operating Cash Flow,5651000000.0,5689000000.0,3710000000.0,2603000000.0
Capital Expenditure,-195000000.0,-124000000.0,-143000000.0,-89000000.0
Depreciation And Amortization,1179000000.0,1173000000.0,1143000000.0,1013000000.0
Free Cash Flow,5456000000.0,5565000000.0,3567000000.0,2514000000.0
Stock Based Compensation,236000000.0,247000000.0,171000000.0,214000000.0
