,2026-06-30,2025-06-30,2024-06-30,2023-06-30
Cash And Cash Equivalents,9942000000.0,9556000000.0,9482000000.0,8246000000.0
Total Debt,35026000000.0,35463000000.0,33369000000.0,35424000000.0
Current Debt,11297000000.0,9512000000.0,7191000000.0,10229000000.0
Long Term Debt,22842000000.0,24995000000.0,25269000000.0,24378000000.0
Total Assets,126521000000.0,125231000000.0,122370000000.0,120829000000.0
Total Liabilities Net Minority Interest,72210000000.0,72947000000.0,71812000000.0,73764000000.0
Total Equity Gross Minority Interest,54311000000.0,52284000000.0,50558000000.0,47065000000.0
