,2025-09-30,2024-09-30,2023-09-30,2022-09-30,2021-09-30
Cash And Cash Equivalents,17164000000.0,11975000000.0,16286000000.0,15689000000.0,
Total Debt,25171000000.0,20836000000.0,20463000000.0,22450000000.0,
Current Debt,5569000000.0,,,2250000000.0,999000000.0
Long Term Debt,19602000000.0,20836000000.0,20463000000.0,20200000000.0,
Total Assets,99627000000.0,94511000000.0,90499000000.0,85501000000.0,
Total Liabilities Net Minority Interest,61718000000.0,55374000000.0,51766000000.0,49920000000.0,
Total Equity Gross Minority Interest,37909000000.0,39137000000.0,38733000000.0,35581000000.0,
