,2025-07-31,2024-07-31,2023-07-31,2022-07-31
Cash And Cash Equivalents,2884000000.0,3609000000.0,2848000000.0,2796000000.0
Total Debt,6639000000.0,6567000000.0,6689000000.0,7540000000.0
Current Debt,,499000000.0,,499000000.0
Long Term Debt,5973000000.0,5539000000.0,6120000000.0,6415000000.0
Total Assets,36958000000.0,32132000000.0,27780000000.0,27734000000.0
Total Liabilities Net Minority Interest,17248000000.0,13696000000.0,10511000000.0,11293000000.0
Total Equity Gross Minority Interest,19710000000.0,18436000000.0,17269000000.0,16441000000.0
