,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Cash And Cash Equivalents,47625000.0,68942000.0,91464000.0,73459000.0,
Total Debt,18131000.0,20105000.0,22864000.0,24685000.0,
Current Debt,,,,,0.0
Long Term Debt,,,,,0.0
Total Assets,127508000.0,144521000.0,156372000.0,124783000.0,
Total Liabilities Net Minority Interest,134238000.0,103134000.0,93259000.0,78947000.0,
Total Equity Gross Minority Interest,-6730000.0,41387000.0,63113000.0,45836000.0,
