,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Cash And Cash Equivalents,213770000.0,194606000.0,276771000.0,233912000.0,
Total Debt,2570408000.0,2723994000.0,3066381000.0,3097276000.0,
Current Debt,,,,,101000.0
Long Term Debt,2111712000.0,2214535000.0,2647147000.0,2707531000.0,
Total Assets,7135422000.0,7528345000.0,8195001000.0,7602770000.0,
Total Liabilities Net Minority Interest,3924228000.0,4020267000.0,4536003000.0,4579265000.0,
Total Equity Gross Minority Interest,3211194000.0,3508078000.0,3658998000.0,3023505000.0,
