,2026-05-31,2025-05-31,2024-05-31,2023-05-31,2022-05-31
Cash And Cash Equivalents,289018000.0,263973000.0,342015000.0,124149000.0,
Total Debt,2705957000.0,2654481000.0,2668080000.0,2668393000.0,
Current Debt,998987000.0,,449595000.0,,311574000.0
Long Term Debt,1429086000.0,2424999000.0,2025934000.0,2486405000.0,
Total Assets,10529140000.0,9825241000.0,9168817000.0,8546356000.0,
Total Liabilities Net Minority Interest,5389253000.0,5140760000.0,4852445000.0,4682370000.0,
Total Equity Gross Minority Interest,5139887000.0,4684481000.0,4316372000.0,3863986000.0,
