,2025-08-31,2024-08-31,2023-08-31,2022-08-31
Cash And Cash Equivalents,203501000.0,161571000.0,79443000.0,376399000.0
Total Debt,72439000.0,68809000.0,64759000.0,51672000.0
Total Assets,2778155000.0,2696413000.0,2569975000.0,2427972000.0
Total Liabilities Net Minority Interest,609198000.0,587902000.0,566015000.0,512101000.0
Total Equity Gross Minority Interest,2168957000.0,2108511000.0,2003960000.0,1915871000.0
