,2025-08-31,2024-08-31,2023-08-31,2022-08-31
Operating Cash Flow,296872000.0,295269000.0,215762000.0,122649000.0
Capital Expenditure,-154345000.0,-160417000.0,-171991000.0,-144319000.0
Depreciation And Amortization,140355000.0,141432000.0,121233000.0,108777000.0
Free Cash Flow,142527000.0,134852000.0,43771000.0,-21670000.0
Stock Based Compensation,12173000.0,9773000.0,9063000.0,9103000.0
