Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2021-01-04 00:00:00+00:00,5645.0,6015.5,5645.0,5990.0,5983.74169921875,60508,0.0,0.0
2021-01-05 00:00:00+00:00,5955.0,6005.0,5890.0,5935.0,5928.7998046875,50868,0.0,0.0
2021-01-06 00:00:00+00:00,6000.0,6000.0,5830.0,5975.0,5968.7568359375,61049,0.0,0.0
2021-01-07 00:00:00+00:00,6075.0,6075.0,5868.76513671875,5965.0,5958.76806640625,73646,0.0,0.0
2021-01-08 00:00:00+00:00,6000.0,6050.0,5910.0,5975.0,5968.7568359375,69342,0.0,0.0
2021-01-11 00:00:00+00:00,5855.0,5990.0,5810.0,5810.0,5803.9306640625,54364,0.0,0.0
2021-01-12 00:00:00+00:00,5805.0,5840.0,5734.0,5750.0,5743.99267578125,77730,0.0,0.0
2021-01-13 00:00:00+00:00,5650.0,5770.0,5627.72705078125,5740.0,5734.00390625,108468,0.0,0.0
2021-01-14 00:00:00+00:00,5820.0,5825.0,5730.0,5760.0,5753.98193359375,57103,0.0,0.0
2021-01-15 00:00:00+00:00,5865.0,5865.0,5700.0,5760.0,5753.98193359375,56138,0.0,0.0
2021-01-18 00:00:00+00:00,5770.0,5907.25,5760.0,5820.0,5813.91943359375,40398,0.0,0.0
2021-01-19 00:00:00+00:00,5970.0,5970.0,5780.0,5840.0,5833.8984375,57061,0.0,0.0
2021-01-20 00:00:00+00:00,5945.0,6195.0,5865.0,6165.0,6158.55908203125,64387,0.0,0.0
2021-01-21 00:00:00+00:00,6295.0,6375.0,6160.0,6160.0,6153.564453125,81136,0.0,0.0
2021-01-22 00:00:00+00:00,6330.0,6330.0,6025.0,6070.0,6063.65771484375,73777,0.0,0.0
2021-01-25 00:00:00+00:00,6185.0,6215.0,6050.0,6125.0,6118.60107421875,73187,0.0,0.0
2021-01-26 00:00:00+00:00,6180.0,6295.98486328125,6110.0,6175.0,6168.548828125,68482,0.0,0.0
2021-01-27 00:00:00+00:00,6055.0,6175.0,5840.0,5995.0,5988.736328125,82269,0.0,0.0
2021-01-28 00:00:00+00:00,6010.0,6100.0,5825.0,6065.0,6058.6630859375,47426,0.0,0.0
2021-01-29 00:00:00+00:00,5920.0,6042.3740234375,5845.0,6000.0,5993.73095703125,75490,0.0,0.0
2021-02-01 00:00:00+00:00,6160.0,6160.0,5995.0,6020.0,6013.7109375,48104,0.0,0.0
2021-02-02 00:00:00+00:00,5970.0,6120.0,5970.0,6050.0,6043.67919921875,65028,0.0,0.0
2021-02-03 00:00:00+00:00,6210.0,6210.0,6015.0,6120.0,6113.60595703125,53371,0.0,0.0
2021-02-04 00:00:00+00:00,6270.0,6335.0,5890.0,6080.0,6073.6474609375,91225,0.0,0.0
2021-02-05 00:00:00+00:00,6100.0,6263.5,6085.0,6155.0,6148.5693359375,116953,0.0,0.0
2021-02-08 00:00:00+00:00,6335.0,6375.0,6160.0,6330.0,6323.38623046875,64060,0.0,0.0
2021-02-09 00:00:00+00:00,6400.0,6435.0,6265.0,6290.0,6283.4287109375,201216,0.0,0.0
2021-02-10 00:00:00+00:00,6355.0,6360.0,6090.0,6185.0,6178.53857421875,82363,0.0,0.0
2021-02-11 00:00:00+00:00,6270.0,6270.0,6175.0,6205.0,6198.517578125,64484,0.0,0.0
2021-02-12 00:00:00+00:00,6360.0,6360.0,6180.0,6215.0,6208.5068359375,52184,0.0,0.0
2021-02-15 00:00:00+00:00,6325.0,6325.0,6135.0,6300.0,6293.41796875,94448,0.0,0.0
2021-02-16 00:00:00+00:00,6425.0,6425.0,6195.0,6325.0,6318.39208984375,74312,0.0,0.0
2021-02-17 00:00:00+00:00,6260.0,6291.10009765625,6130.0,6165.0,6158.55908203125,175757,0.0,0.0
2021-02-18 00:00:00+00:00,6055.0,6206.13720703125,6055.0,6110.0,6103.61669921875,66661,0.0,0.0
2021-02-19 00:00:00+00:00,6070.0,6200.0,6070.0,6120.0,6113.60595703125,32224,0.0,0.0
2021-02-22 00:00:00+00:00,5950.0,6062.2001953125,5860.0,5890.0,5883.84619140625,61374,0.0,0.0
2021-02-23 00:00:00+00:00,5995.0,5995.0,5640.0,5770.0,5763.9716796875,99205,0.0,0.0
2021-02-24 00:00:00+00:00,5890.0,5890.0,5725.0,5835.0,5828.904296875,66819,0.0,0.0
2021-02-25 00:00:00+00:00,5965.0,5965.0,5825.0,5830.0,5823.90869140625,65455,0.0,0.0
2021-02-26 00:00:00+00:00,5710.0,5800.0,5700.0,5750.0,5743.99267578125,107763,0.0,0.0
2021-03-01 00:00:00+00:00,5850.0,5920.0,5770.0,5800.0,5793.94091796875,87395,0.0,0.0
2021-03-02 00:00:00+00:00,6645.0,6988.5,6305.0,6900.0,6892.79150390625,365512,0.0,0.0
