,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Cash And Cash Equivalents,68000000.0,65000000.0,97600000.0,143800000.0,
Total Debt,1518000000.0,1202000000.0,1312400000.0,1300200000.0,
Current Debt,,,,0.0,144800000.0
Long Term Debt,1398000000.0,1123000000.0,1226900000.0,1211900000.0,
Total Assets,3781000000.0,3515000000.0,3713700000.0,3592000000.0,
Total Liabilities Net Minority Interest,2263000000.0,1826000000.0,2021000000.0,1982300000.0,
Total Equity Gross Minority Interest,1518000000.0,1689000000.0,1692700000.0,1609700000.0,
