,2026-06-30,2025-06-30,2024-06-30,2023-06-30
Cash And Cash Equivalents,264712000.0,162186000.0,151791000.0,180571000.0
Total Debt,289087000.0,444058000.0,419538000.0,454965000.0
Current Debt,,,,
Long Term Debt,200000000.0,346000000.0,319000000.0,350000000.0
Total Assets,2586726000.0,2557868000.0,2703867000.0,2638692000.0
Total Liabilities Net Minority Interest,478505000.0,639060000.0,635017000.0,672176000.0
Total Equity Gross Minority Interest,2108221000.0,1918808000.0,2068850000.0,1966516000.0
