,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Cash And Cash Equivalents,66888000.0,59362000.0,69807000.0,95966000.0
Total Debt,2152172000.0,2013888000.0,2080839000.0,2014534000.0
Current Debt,63931000.0,182623000.0,192219000.0,106054000.0
Long Term Debt,2088241000.0,1831265000.0,1888620000.0,1908480000.0
Total Assets,3712646000.0,3239999000.0,3355555000.0,3492395000.0
Total Liabilities Net Minority Interest,3736282000.0,3366889000.0,3505493000.0,3467602000.0
Total Equity Gross Minority Interest,-23636000.0,-126890000.0,-149938000.0,24793000.0
