,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Cash And Cash Equivalents,1980000000.0,1702000000.0,1376000000.0,1216000000.0,
Total Debt,,14156000000.0,13896000000.0,13011000000.0,12438000000.0
Current Debt,1840000000.0,1145000000.0,718000000.0,152000000.0,
Long Term Debt,13884000000.0,12838000000.0,12955000000.0,12595000000.0,
Total Assets,29944000000.0,26899000000.0,26681000000.0,25337000000.0,
Total Liabilities Net Minority Interest,23314000000.0,20832000000.0,20569000000.0,19572000000.0,
Total Equity Gross Minority Interest,6630000000.0,6067000000.0,6112000000.0,5765000000.0,
