,2025-09-30,2024-09-30,2023-09-30,2022-09-30,2021-09-30
Cash And Cash Equivalents,390000000.0,508000000.0,696000000.0,489000000.0,
Total Debt,1579000000.0,1246000000.0,1257000000.0,1222000000.0,
Current Debt,,,0.0,161000000.0,47000000.0
Long Term Debt,1476000000.0,1156000000.0,1171000000.0,966000000.0,
Total Assets,3713000000.0,3639000000.0,3936000000.0,3897000000.0,
Total Liabilities Net Minority Interest,2993000000.0,2546000000.0,2529000000.0,2500000000.0,
Total Equity Gross Minority Interest,720000000.0,1093000000.0,1407000000.0,1397000000.0,
