,2026-06-30,2025-06-30,2024-06-30,2023-06-30,2022-06-30
Cash And Cash Equivalents,4230100000.0,3347800000.0,2913400000.0,2083500000.0,
Total Debt,5270800000.0,9065400000.0,3319900000.0,3338900000.0,
Current Debt,,4769500000.0,385400000.0,105400000.0,136400000.0
Long Term Debt,4964100000.0,3974700000.0,2991300000.0,2989000000.0,
Total Assets,63193300000.0,53369300000.0,54362700000.0,50971000000.0,
Total Liabilities Net Minority Interest,57162100000.0,47181300000.0,49815100000.0,47461900000.0,
Total Equity Gross Minority Interest,6031200000.0,6188000000.0,4547600000.0,3509100000.0,
