,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Cash And Cash Equivalents,55736000.0,55185000.0,82546000.0,56296000.0
Total Debt,4713000.0,3752000.0,18059000.0,2539000.0
Current Debt,0.0,1512000.0,15516000.0,
Total Assets,131561000.0,121486000.0,146475000.0,122155000.0
Total Liabilities Net Minority Interest,36809000.0,37441000.0,49133000.0,33419000.0
Total Equity Gross Minority Interest,94752000.0,84045000.0,97342000.0,88736000.0
