,2025-09-30,2024-09-30,2023-09-30,2022-09-30
Operating Cash Flow,867696000.0,749984000.0,610861000.0,435326000.0
Capital Expenditure,-11008000.0,-14378000.0,-23814000.0,-25947000.0
Depreciation And Amortization,135416000.0,141407000.0,137162000.0,122040000.0
Free Cash Flow,856688000.0,735606000.0,587047000.0,409379000.0
Stock Based Compensation,216205000.0,223461000.0,206459000.0,174863000.0
