,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Cash And Cash Equivalents,100004000.0,89630000.0,103825000.0,95346000.0,
Total Debt,1038005000.0,812528000.0,816348000.0,336329000.0,
Current Debt,123683000.0,,,15000000.0,18750000.0
Long Term Debt,486147000.0,395310000.0,490776000.0,39898000.0,
Total Assets,3140523000.0,2819695000.0,2595460000.0,2122028000.0,
Total Liabilities Net Minority Interest,1766202000.0,1489102000.0,1439893000.0,854831000.0,
Total Equity Gross Minority Interest,1374321000.0,1330593000.0,1155567000.0,1267197000.0,
