,2025-08-31,2024-08-31,2023-08-31,2022-08-31
Cash And Cash Equivalents,56228000.0,29588000.0,50052000.0,43537000.0
Total Debt,538807000.0,568173000.0,521418000.0,860768000.0
Current Debt,316868000.0,229911000.0,229935000.0,325680000.0
Long Term Debt,168831000.0,278853000.0,224391000.0,468912000.0
Total Assets,2462064000.0,2462313000.0,2544134000.0,2729414000.0
Total Liabilities Net Minority Interest,1065562000.0,1061031000.0,1051552000.0,1367131000.0
Total Equity Gross Minority Interest,1396502000.0,1401282000.0,1492582000.0,1362283000.0
