,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Cash And Cash Equivalents,1722521000.0,1933147000.0,1318999000.0,697999000.0
Total Debt,3347950000.0,2900006000.0,3070195000.0,3158391000.0
Current Debt,5000000.0,,9600000.0,7800000.0
Long Term Debt,2976674000.0,2459915000.0,2448696000.0,2453607000.0
Total Assets,8085400000.0,8534671000.0,7835919000.0,7299736000.0
Total Liabilities Net Minority Interest,7765492000.0,7175502000.0,7155285000.0,7071938000.0
Total Equity Gross Minority Interest,319908000.0,1359169000.0,680634000.0,227798000.0
