,2025-10-31,2024-10-31,2023-10-31,2022-10-31,2021-10-31
Cash And Cash Equivalents,2888030000.0,3896532000.0,1433966000.0,1417608000.0,
Total Debt,14293418000.0,684457000.0,677596000.0,656371000.0,
Current Debt,22117000.0,,,,74992000.0
Long Term Debt,13462398000.0,15601000.0,18078000.0,20824000.0,
Total Assets,48224461000.0,13073561000.0,10333131000.0,9418087000.0,
Total Liabilities Net Minority Interest,19897446000.0,4050355000.0,4148830000.0,3858897000.0,
Total Equity Gross Minority Interest,28327015000.0,9023206000.0,6184301000.0,5559190000.0,
