,2024-06-30,2023-06-30,2022-06-30
Total Revenue,691301000.0,688573000.0,671076000.0
Gross Profit,323643000.0,350665000.0,357549000.0
Operating Income,108667000.0,135888000.0,153663000.0
EBIT,123238000.0,145796000.0,146535000.0
EBITDA,156066000.0,177674000.0,182561000.0
Pretax Income,122594000.0,145065000.0,145586000.0
Net Income,96889000.0,116102000.0,120351000.0
Diluted EPS,1.332,1.597,1.65376
Interest Expense,644000.0,731000.0,949000.0
Tax Provision,25705000.0,28963000.0,25235000.0
