,2025-06-30,2024-06-30,2023-06-30,2022-06-30
Operating Cash Flow,147896000.0,124079000.0,84297000.0,121473000.0
Capital Expenditure,-56558000.0,-74774000.0,-84599000.0,-39660000.0
Depreciation And Amortization,35746000.0,32828000.0,31878000.0,36026000.0
Free Cash Flow,91338000.0,49305000.0,-302000.0,81813000.0
Stock Based Compensation,790000.0,883000.0,677000.0,180000.0
