,2024-06-30,2023-06-30,2022-06-30
Cash And Cash Equivalents,122293000.0,81388000.0,153162000.0
Total Debt,18544000.0,13327000.0,16259000.0
Current Debt,747000.0,4694000.0,919000.0
Long Term Debt,2775000.0,0.0,5160000.0
Total Assets,1066176000.0,1057536000.0,992767000.0
Total Liabilities Net Minority Interest,169911000.0,167372000.0,177597000.0
Total Equity Gross Minority Interest,896265000.0,890164000.0,815170000.0
