,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Operating Cash Flow,1083200000.0,1526800000.0,1353600000.0,1303200000.0,
Capital Expenditure,,-120400000.0,-107800000.0,-95800000.0,-50000000.0
Depreciation And Amortization,437600000.0,430900000.0,426200000.0,465600000.0,
Free Cash Flow,1083200000.0,1526800000.0,1353600000.0,1207400000.0,
Stock Based Compensation,116800000.0,90100000.0,94500000.0,93800000.0,
