,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Cash And Cash Equivalents,375500000.0,813300000.0,1888800000.0,709200000.0,
Total Debt,3306600000.0,3707300000.0,3810100000.0,3420700000.0,
Current Debt,899500000.0,376200000.0,,999700000.0,2151700000.0
Long Term Debt,2306500000.0,3331100000.0,3646200000.0,2251600000.0,
Total Assets,11737700000.0,17016100000.0,16911800000.0,15890600000.0,
Total Liabilities Net Minority Interest,5276600000.0,6820500000.0,6586500000.0,6202000000.0,
Total Equity Gross Minority Interest,6461100000.0,10195600000.0,10325300000.0,9688600000.0,
