,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Operating Cash Flow,70200000.0,-3800000.0,8500000.0,46800000.0
Capital Expenditure,-14100000.0,-9600000.0,-7100000.0,-4600000.0
Depreciation And Amortization,9600000.0,8000000.0,5800000.0,4700000.0
Free Cash Flow,56100000.0,-13400000.0,1400000.0,42200000.0
Stock Based Compensation,3300000.0,1700000.0,3300000.0,2700000.0
