,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Cash And Cash Equivalents,1288000000.0,1096000000.0,966000000.0,775000000.0
Total Debt,8554000000.0,8512000000.0,9064000000.0,9271000000.0
Current Debt,1117000000.0,660000000.0,330000000.0,25000000.0
Long Term Debt,6871000000.0,7289000000.0,8219000000.0,8741000000.0
Total Assets,16330000000.0,16046000000.0,16393000000.0,15731000000.0
Total Liabilities Net Minority Interest,15965000000.0,15502000000.0,15436000000.0,14925000000.0
Total Equity Gross Minority Interest,365000000.0,544000000.0,957000000.0,806000000.0
