,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Operating Cash Flow,2901000000.0,2838000000.0,2151000000.0,1474000000.0
Capital Expenditure,-326000000.0,-317000000.0,-271000000.0,-283000000.0
Depreciation And Amortization,480000000.0,431000000.0,373000000.0,331000000.0
Free Cash Flow,2575000000.0,2521000000.0,1880000000.0,1191000000.0
Stock Based Compensation,232000000.0,220000000.0,193000000.0,169000000.0
