,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Cash And Cash Equivalents,791300000.0,484600000.0,853900000.0,894300000.0,
Total Debt,321100000.0,302300000.0,309000000.0,317900000.0,
Current Debt,,,134000000.0,2200000.0,44200000.0
Long Term Debt,202800000.0,202600000.0,72800000.0,206700000.0,
Total Assets,4270000000.0,3643400000.0,3829500000.0,3616800000.0,
Total Liabilities Net Minority Interest,1094000000.0,961100000.0,948500000.0,931900000.0,
Total Equity Gross Minority Interest,3176000000.0,2682300000.0,2881000000.0,2684900000.0,
