,2026-02-28,2025-02-28,2024-02-29,2023-02-28
Cash And Cash Equivalents,98646000.0,113076000.0,88836000.0,73019000.0
Total Debt,1980000.0,1937000.0,1737000.0,992000.0
Total Assets,474129000.0,455231000.0,379718000.0,320767000.0
Total Liabilities Net Minority Interest,393009000.0,357188000.0,301382000.0,259270000.0
Total Equity Gross Minority Interest,81120000.0,98043000.0,78336000.0,61497000.0
