,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Cash And Cash Equivalents,2615000000.0,1334000000.0,1400000000.0,1040000000.0
Total Debt,21219000000.0,19869000000.0,20032000000.0,20070000000.0
Current Debt,1908000000.0,654000000.0,638000000.0,837000000.0
Long Term Debt,19311000000.0,19215000000.0,19394000000.0,19233000000.0
Total Assets,81786000000.0,88287000000.0,90339000000.0,90513000000.0
Total Liabilities Net Minority Interest,39997000000.0,38962000000.0,40617000000.0,41643000000.0
Total Equity Gross Minority Interest,41789000000.0,49325000000.0,49722000000.0,48870000000.0
