,2025-11-30,2024-11-30,2023-11-30,2022-11-30
Operating Cash Flow,7544000.0,8374000.0,-10455000.0,-20786000.0
Capital Expenditure,-9740000.0,-4822000.0,-1099000.0,-5202000.0
Depreciation And Amortization,4137000.0,5187000.0,8369000.0,7268000.0
Free Cash Flow,-2196000.0,3552000.0,-11554000.0,-25988000.0
Stock Based Compensation,1005000.0,644000.0,-364000.0,40000.0
