,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Cash And Cash Equivalents,2178200000.0,291200000.0,302700000.0,112500000.0
Total Debt,4900400000.0,3245800000.0,3095400000.0,3955500000.0
Current Debt,1500000000.0,499700000.0,,1390000000.0
Long Term Debt,3213600000.0,2520000000.0,2832200000.0,2341900000.0
Total Assets,6195500000.0,4264700000.0,4366100000.0,6961100000.0
Total Liabilities Net Minority Interest,5885700000.0,4159700000.0,4043900000.0,5193400000.0
Total Equity Gross Minority Interest,309800000.0,105000000.0,322200000.0,1767700000.0
