,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Cash And Cash Equivalents,220600000.0,189400000.0,204300000.0,218000000.0
Total Debt,304400000.0,336000000.0,283700000.0,373800000.0
Total Assets,4388200000.0,4251400000.0,3902100000.0,4171500000.0
Total Liabilities Net Minority Interest,348100000.0,520200000.0,328800000.0,449800000.0
Total Equity Gross Minority Interest,4040100000.0,3731200000.0,3573300000.0,3721700000.0
