,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Cash And Cash Equivalents,48479000.0,91404000.0,138756000.0,98138000.0,
Total Debt,318721000.0,297502000.0,291139000.0,225421000.0,
Current Debt,,0.0,36699000.0,0.0,
Long Term Debt,,,,,0.0
Total Assets,740106000.0,701345000.0,700010000.0,630865000.0,
Total Liabilities Net Minority Interest,535286000.0,513880000.0,499554000.0,417040000.0,
Total Equity Gross Minority Interest,204820000.0,187465000.0,200456000.0,213825000.0,
