,2026-01-31,2025-01-31,2024-01-31,2023-01-31,2022-01-31
Cash And Cash Equivalents,2249000000.0,1599000000.0,1892000000.0,1947000000.0,
Total Debt,2734000000.0,2559000000.0,2626000000.0,2666000000.0,
Current Debt,,300000000.0,,,350000000.0
Long Term Debt,2483000000.0,1987000000.0,2284000000.0,2281000000.0,
Total Assets,12467000000.0,10833000000.0,9912000000.0,9438000000.0,
Total Liabilities Net Minority Interest,9422000000.0,8212000000.0,8057000000.0,8293000000.0,
Total Equity Gross Minority Interest,3045000000.0,2621000000.0,1855000000.0,1145000000.0,
