,2026-01-31,2025-01-31,2024-01-31,2023-01-31
Cash And Cash Equivalents,375130000.0,624575000.0,383742000.0,428465000.0
Total Debt,527981000.0,721316000.0,464987000.0,535104000.0
Current Debt,,203907000.0,,
Long Term Debt,451011000.0,448638000.0,370822000.0,369351000.0
Total Assets,1546060000.0,1667520000.0,1241163000.0,1207165000.0
Total Liabilities Net Minority Interest,1348962000.0,1470244000.0,1180130000.0,1241026000.0
Total Equity Gross Minority Interest,197098000.0,197276000.0,61033000.0,-33861000.0
