,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Cash And Cash Equivalents,31376000.0,95348000.0,90138000.0,131480000.0
Total Debt,132254000.0,136790000.0,110933000.0,109832000.0
Total Assets,575729000.0,650095000.0,704574000.0,794944000.0
Total Liabilities Net Minority Interest,361102000.0,387686000.0,398086000.0,442741000.0
Total Equity Gross Minority Interest,214627000.0,262409000.0,306488000.0,352203000.0
