,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Operating Cash Flow,183000727.155207,161867118.388858,164588083.924636,60025898.270625
Capital Expenditure,-44302604.292909,-33000815.609511,-37580096.56174,-25293170.843872
Depreciation And Amortization,57499124.720584,53077357.425184,49172600.924853,43809224.141061
Free Cash Flow,138698122.862298,128866302.779346,127007987.362896,34732727.426753
Stock Based Compensation,3905092.779618,4266265.13583,5222996.471293,2420399.123816
