,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Cash And Cash Equivalents,76000000.0,74000000.0,140000000.0,143400000.0,
Total Debt,13806000000.0,12957000000.0,13069000000.0,12081400000.0,
Current Debt,596000000.0,862000000.0,932000000.0,456000000.0,
Long Term Debt,12985000000.0,11851000000.0,11887000000.0,11329500000.0,
Total Assets,,32402000000.0,31410000000.0,29052900000.0,24955000000.0
Total Liabilities Net Minority Interest,22397000000.0,20995000000.0,20867000000.0,19366100000.0,
Total Equity Gross Minority Interest,11969000000.0,11407000000.0,10543000000.0,9686800000.0,
