,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Operating Cash Flow,4296000000.0,3936000000.0,3618000000.0,3190000000.0,
Capital Expenditure,-1887000000.0,-1855000000.0,-1631000000.0,-1454000000.0,
Depreciation And Amortization,1928000000.0,1784000000.0,1599000000.0,1441000000.0,
Free Cash Flow,2409000000.0,2081000000.0,1987000000.0,1736000000.0,
Stock Based Compensation,,42000000.0,40900000.0,39000000.0,57000000.0
