,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Operating Cash Flow,7818000000.0,8667000000.0,8406000000.0,9154000000.0
Capital Expenditure,-1525000000.0,-1400000000.0,-1479000000.0,-2243000000.0
Depreciation And Amortization,2780000000.0,3108000000.0,3406000000.0,3381000000.0
Free Cash Flow,6293000000.0,7267000000.0,6927000000.0,6911000000.0
Stock Based Compensation,310000000.0,301000000.0,278000000.0,307000000.0
