,2025-06-30,2024-06-30,2023-06-30,2022-06-30
Cash And Cash Equivalents,388417000.0,460617000.0,344036000.0,184474000.0
Total Debt,572300000.0,597334000.0,622096000.0,689324000.0
Current Debt,,25055000.0,25170000.0,40174000.0
Long Term Debt,572300000.0,572279000.0,596926000.0,649150000.0
Total Assets,3175544000.0,2951910000.0,2743332000.0,2452588000.0
Total Liabilities Net Minority Interest,1331024000.0,1263129000.0,1284895000.0,1303233000.0
Total Equity Gross Minority Interest,1844520000.0,1688781000.0,1458437000.0,1149355000.0
