,2026-05-31,2025-05-31,2024-05-31,2023-05-31,2022-05-31
Cash And Cash Equivalents,1088200000.0,1628600000.0,1468900000.0,1222000000.0,
Total Debt,4608300000.0,5022300000.0,866300000.0,865700000.0,
Current Debt,,418400000.0,18700000.0,10200000.0,8700000.0
Long Term Debt,4556100000.0,4548400000.0,798600000.0,798200000.0,
Total Assets,16174500000.0,16564100000.0,10383100000.0,10546400000.0,
Total Liabilities Net Minority Interest,12439400000.0,12436100000.0,6582100000.0,7053200000.0,
Total Equity Gross Minority Interest,3735100000.0,4128000000.0,3801000000.0,3493200000.0,
