,2026-05-31,2025-05-31,2024-05-31,2023-05-31
Operating Cash Flow,2556700000.0,1900900000.0,1897700000.0,1706200000.0
Capital Expenditure,-234900000.0,-191800000.0,-161400000.0,-143000000.0
Depreciation And Amortization,442600000.0,209500000.0,176500000.0,176600000.0
Free Cash Flow,2321800000.0,1709100000.0,1736300000.0,1563200000.0
Stock Based Compensation,96100000.0,111800000.0,61100000.0,62600000.0
