,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Cash And Cash Equivalents,540100000.0,1432900000.0,1426100000.0,1504000000.0
Total Debt,2895400000.0,3722900000.0,3085800000.0,3130800000.0
Current Debt,416400000.0,1607100000.0,1004200000.0,986900000.0
Long Term Debt,1736500000.0,1361700000.0,1417100000.0,1574000000.0
Total Assets,8572200000.0,9529200000.0,8747200000.0,8666800000.0
Total Liabilities Net Minority Interest,5779400000.0,6738500000.0,5780900000.0,5945900000.0
Total Equity Gross Minority Interest,2792800000.0,2790700000.0,2966300000.0,2720900000.0
