,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Cash And Cash Equivalents,110000000.0,150000000.0,146372000.0,114770000.0,
Total Debt,44700000.0,24700000.0,11957000.0,8836000.0,
Current Debt,,,,0.0,65000.0
Long Term Debt,22000000.0,0.0,40000.0,40000.0,
Total Assets,813800000.0,780500000.0,773782000.0,731966000.0,
Total Liabilities Net Minority Interest,229400000.0,182000000.0,151487000.0,142059000.0,
Total Equity Gross Minority Interest,584400000.0,598500000.0,622295000.0,589907000.0,
