,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Operating Cash Flow,1285000000.0,987000000.0,608000000.0,468000000.0
Capital Expenditure,-433000000.0,-381000000.0,-427000000.0,-358000000.0
Depreciation And Amortization,574000000.0,555000000.0,527000000.0,548000000.0
Free Cash Flow,852000000.0,606000000.0,181000000.0,110000000.0
Stock Based Compensation,43000000.0,40000000.0,39000000.0,40000000.0
