,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Cash And Cash Equivalents,409000000.0,964100000.0,344500000.0,270300000.0,
Total Debt,2205100000.0,2204600000.0,2406000000.0,2673500000.0,
Current Debt,,,203800000.0,74000000.0,952200000.0
Long Term Debt,2205100000.0,2204600000.0,2202200000.0,2599500000.0,
Total Assets,8912400000.0,8883100000.0,8569200000.0,8345600000.0,
Total Liabilities Net Minority Interest,4910200000.0,4522300000.0,4713800000.0,4855700000.0,
Total Equity Gross Minority Interest,4002200000.0,4360800000.0,3855400000.0,3489900000.0,
