,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Cash And Cash Equivalents,4416900000.0,2892400000.0,2912000000.0,2720100000.0,
Total Debt,3422300000.0,3428000000.0,3425400000.0,3438400000.0,
Current Debt,,749800000.0,,16000000.0,749400000.0
Long Term Debt,3422300000.0,2678200000.0,3425400000.0,3422400000.0,
Total Assets,198424200000.0,137447000000.0,129706100000.0,174175700000.0,
Total Liabilities Net Minority Interest,169696000000.0,110960100000.0,102968200000.0,147297000000.0,
Total Equity Gross Minority Interest,28728200000.0,26486900000.0,26737900000.0,26878700000.0,
