,2025-09-30,2023-05-31,2022-05-31
Cash And Cash Equivalents,12500000.0,34100000.0,73200000.0
Total Debt,22800000.0,113700000.0,158200000.0
Current Debt,0.0,1800000.0,18500000.0
Long Term Debt,3300000.0,81900000.0,107100000.0
Total Assets,343300000.0,501400000.0,576400000.0
Total Liabilities Net Minority Interest,136800000.0,223200000.0,283200000.0
Total Equity Gross Minority Interest,206500000.0,278200000.0,293200000.0
