,2025-09-30,2023-05-31,2022-05-31
Operating Cash Flow,33500000.0,32100000.0,54800000.0
Capital Expenditure,-5100000.0,-7300000.0,-8200000.0
Depreciation And Amortization,20000000.0,22600000.0,19700000.0
Free Cash Flow,28400000.0,24800000.0,46600000.0
Stock Based Compensation,2100000.0,2200000.0,3400000.0
