,2025-09-30,2023-05-31,2022-05-31
Total Revenue,238900000.0,335100000.0,314800000.0
Gross Profit,88400000.0,132000000.0,132600000.0
Operating Income,-8000000.0,16600000.0,35500000.0
EBIT,-6100000.0,1300000.0,34700000.0
EBITDA,13900000.0,23900000.0,54400000.0
Pretax Income,-11000000.0,-4300000.0,31000000.0
Net Income,17100000.0,-4600000.0,23000000.0
Diluted EPS,0.055,-0.015,0.074
Interest Expense,4900000.0,5600000.0,3700000.0
Tax Provision,-1900000.0,300000.0,8000000.0
