,2024-07-31,2023-07-31,2022-07-31
Total Revenue,962633000.0,985300000.0,1077946000.0
Gross Profit,417753000.0,373834000.0,327210000.0
Operating Income,154064000.0,140898000.0,136145000.0
EBIT,159842000.0,142069000.0,136397000.0
EBITDA,166466000.0,148187000.0,140922000.0
Pretax Income,159399000.0,141864000.0,136144000.0
Net Income,119044000.0,112029000.0,110405000.0
Diluted EPS,0.594,0.56,0.553
Interest Expense,443000.0,205000.0,253000.0
Tax Provision,40355000.0,29835000.0,25739000.0
