,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Cash And Cash Equivalents,580000000.0,620800000.0,534300000.0,430200000.0
Total Debt,1848600000.0,1986300000.0,1347700000.0,1586900000.0
Current Debt,700000.0,100700000.0,600000.0,
Long Term Debt,1820100000.0,1859500000.0,1325100000.0,1468700000.0
Total Assets,6927000000.0,6745300000.0,5865200000.0,5511900000.0
Total Liabilities Net Minority Interest,2900800000.0,2951200000.0,2324000000.0,2472300000.0
Total Equity Gross Minority Interest,4026200000.0,3794100000.0,3541200000.0,3039600000.0
