,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Cash And Cash Equivalents,3726000000.0,2304000000.0,1897000000.0,1470000000.0,
Total Debt,2403000000.0,2278000000.0,2284000000.0,2232000000.0,
Current Debt,,,,,92000000.0
Long Term Debt,1491000000.0,1489000000.0,1488000000.0,1486000000.0,
Total Assets,26038000000.0,20383000000.0,17387000000.0,13299000000.0,
Total Liabilities Net Minority Interest,13074000000.0,10774000000.0,9759000000.0,8267000000.0,
Total Equity Gross Minority Interest,12964000000.0,9609000000.0,7628000000.0,5032000000.0,
